# pattern	okipona	truth	rationale	hotwords
p4ng/five-p-rhythm	pali	了	Five-P Rhythm for Impact -> pali/了: Rhythmic structure supports sustained action and clearer evaluation.	five, p, rhythm, impact, p4ng, rhythmic, structure, supports, sustained, action
p4ng/friction-as-feature	ante	使	Friction-as-Feature -> ante/使: Well-placed friction protects integrity and prevents premature or careless decisions.	friction, feature, p4ng, well, placed, protects, integrity, prevents, premature, careless
p4ng/harvest-before-close	pini	以	Harvest Before You Close -> pini/以: Capturing knowledge while fresh prevents loss of learning.	harvest, before, close, p4ng, capturing, knowledge, while, fresh, prevents, loss
p4ng/identifier-garden	ante	系统	Identifier Garden -> ante/系统: Stewarded identifiers increase traceability and reduce metadata drift.	identifier, garden, p4ng, stewarded, identifiers, increase, traceability, reduce, metadata, drift
p4ng/institutional-drift	ante	了	Institutional Drift -> ante/了: Institutions require periodic re-grounding to avoid ossification.	institutional, drift, p4ng, institutions, require, periodic, re, grounding, avoid, ossification
p4ng/legitimate-iteration	ante	的	Legitimate Iteration -> ante/的: Transparent mechanisms for revision build trust and resilience.	legitimate, iteration, p4ng, transparent, mechanisms, revision, build, trust, resilience, apply
p4ng/license-as-story	ante	只	License-as-Story -> ante/只: Narrative notes increase understanding and encourage constructive, informed reuse.	license, story, p4ng, narrative, notes, increase, understanding, encourage, constructive, informed
p4ng/license-laddering	pali	把	License Laddering -> pali/把: Progressive licensing reduces fear-driven restriction and allows flexibility as the project matures.	license, laddering, p4ng, progressive, licensing, reduces, fear, driven, restriction, allows
p4ng/maintainer-care	pali	使	Maintainer Care -> pali/使: Supporting maintainers increases longevity and project quality.	maintainer, care, p4ng, supporting, maintainers, increases, longevity, project, quality, make
p4ng/meta-reflection-loop	ala	方式	Meta-Reflection Loop -> ala/方式: Meta-reflection enables iterative refinement of methods.	meta, reflection, loop, p4ng, enables, iterative, refinement, methods, add, closing
p4ng/meta-reflection-loop-agent	ante	了	Meta-Reflection Loop (Agent-Facing) -> ante/了: Adaptive facilitation requires agents to reflect on how they reason, not only on what they output.	meta, reflection, loop, agent, facing, p4ng, adaptive, facilitation, requires, agents
p4ng/method-documentary-split	ante	方式	Method / Documentary Split -> ante/方式: Clean separation increases legibility and supports better updating.	method, documentary, split, p4ng, clean, separation, increases, legibility, supports, better
p4ng/name-the-frame	ante	方式	Name the Frame -> ante/方式: Clarity of framing builds autonomy and investment.	name, frame, p4ng, clarity, framing, builds, autonomy, investment, explicitly, describe
p4ng/norm-seed	ante	以	Norm Seed -> ante/以: Early framing disproportionately shapes long-term behaviour.	norm, seed, p4ng, early, framing, disproportionately, shapes, long, term, behaviour
p4ng/outcome-synthesizer	ante	的	Outcome Synthesizer -> ante/的: Divergence without convergence produces noise instead of actionable outcomes.	outcome, synthesizer, p4ng, divergence, without, convergence, produces, noise, instead, actionable
p4ng/overlay-bridges	pali	需要	Overlay Bridges -> pali/需要: Pre-portal bridges strengthen proposals and increase quality at entry.	overlay, bridges, p4ng, pre, portal, strengthen, proposals, increase, quality, entry
p4ng/pattern-activation	ante	了	Pattern Activation -> ante/了: Targeted activation of prior structure improves both efficiency and quality of responses.	pattern, activation, p4ng, targeted, prior, structure, improves, both, efficiency, quality
p4ng/pattern-diffusion	ante	以	Pattern Diffusion -> ante/以: Spreading and contesting patterns allows MAS to improve collectively rather than in isolated pockets.	pattern, diffusion, p4ng, spreading, contesting, patterns, allows, mas, improve, collectively
p4ng/pattern-dispute-dialogue	ante	的	Pattern Dispute Dialogue -> ante/的: Productive conflict resolution deepens co-understanding and evolves pattern clarity.	pattern, dispute, dialogue, p4ng, productive, conflict, resolution, deepens, co, understanding
p4ng/pattern-priming	ante	方式	Pattern Priming -> ante/方式: Surfacing tacit knowledge enables double-loop learning.	pattern, priming, p4ng, surfacing, tacit, knowledge, enables, double, loop, learning
p4ng/pattern-the-play	ante	只	Pattern the Play -> ante/只: Nonverbal practices surface tacit design knowledge.	pattern, play, p4ng, nonverbal, practices, surface, tacit, design, knowledge, treat
p4ng/peripheral-to-core	ante	需要	Peripheral-to-Core Pathways -> ante/需要: Clear pathways increase retention and distribute expertise.	peripheral, core, pathways, p4ng, clear, increase, retention, distribute, expertise, establish
p4ng/platform-choreography	ante	方式	Platform Choreography -> ante/方式: Clear choreography reduces confusion and creates predictable user journeys.	platform, choreography, p4ng, clear, reduces, confusion, creates, predictable, user, journeys
p4ng/proportional-load-sharing	ante	需要	Proportional Load Sharing -> ante/需要: Sustainable MAS practice requires balanced contribution patterns.	proportional, load, sharing, p4ng, sustainable, mas, practice, requires, balanced, contribution
p4ng/quality-by-design	pali	也	Quality-by-Design Crowd -> pali/也: Shared responsibility increases robustness and reduces bottlenecks.	quality, design, crowd, p4ng, shared, responsibility, increases, robustness, reduces, bottlenecks
p4ng/readiness-windows	ante	了	Readiness Windows -> ante/了: Time-sensitive alignment increases project coherence and reduces bottlenecks.	readiness, windows, p4ng, time, sensitive, alignment, increases, project, coherence, reduces
p4ng/reflect-in-layers	ante	的	Reflect in Layers -> ante/的: Layered reflection builds shared understanding and adaptive capacity.	reflect, layers, p4ng, layered, reflection, builds, shared, understanding, adaptive, capacity
p4ng/reflection-scaffold-upgrade	ante	方式	Reflection Scaffold Upgrade -> ante/方式: Developmental learning requires scaffolding that evolves with system maturity.	reflection, scaffold, upgrade, p4ng, developmental, learning, requires, scaffolding, evolves, system
p4ng/retirement-shelf	pali	都	Retirement Shelf -> pali/都: Responsible retirement protects history while reducing unnecessary maintenance load.	retirement, shelf, p4ng, responsible, protects, history, while, reducing, unnecessary, maintenance
p4ng/role-reveal	pali	的	Role Reveal -> pali/的: Transparency stabilizes group process.	role, reveal, p4ng, transparency, stabilizes, group, process, make, facilitation, roles
p4ng/role-reveal-agent	ante	使	Role Reveal (Agent-Facing) -> ante/使: Transparent roles reduce confusion and support division of labour in MAS.	role, reveal, agent, facing, p4ng, transparent, roles, reduce, confusion, support
p4ng/self-patterning-mandate	pali	的	Self-Patterning Mandate -> pali/的: MAS flexibility depends on recognised autonomy to define and adapt internal practices.	self, patterning, mandate, p4ng, mas, flexibility, depends, recognised, autonomy, define
p4ng/shared-memory-architecture	lon	这些	Shared Memory Architecture -> lon/这些: Collective learning depends on retaining and re-accessing prior experience.	shared, memory, architecture, p4ng, collective, learning, depends, retaining, re, accessing
p4ng/snapshot-with-story	lukin	对	Snapshot-with-Story DOI -> lukin/对: Story-linked snapshots make updates intelligible and increase meaningful reuse.	snapshot, story, doi, p4ng, linked, snapshots, make, updates, intelligible, increase
p4ng/start-with-sense	pali	使	Start with Sense -> pali/使: Affective alignment enables deeper inquiry.	start, sense, p4ng, affective, alignment, enables, deeper, inquiry, begin, sensory
p4ng/tension-detection	ante	的	Tension Detection -> ante/的: Making tensions visible is a prerequisite for productive negotiation and learning.	tension, detection, p4ng, making, tensions, visible, prerequisite, productive, negotiation, learning
p4ng/timebox-the-core	pali	方式	Timebox the Core -> pali/方式: Time constraints sharpen focus and support iterative learning.	timebox, core, p4ng, time, constraints, sharpen, focus, support, iterative, learning
p4ng/timebox-the-core-agent	e	了	Timebox the Core (Agent-Facing) -> e/了: Respecting finite attention and resources preserves trust in the agent and the protocol.	timebox, core, agent, facing, p4ng, respecting, finite, attention, resources, preserves
p4ng/timebox-the-core-agent-prime	pali	了	Timebox the Core (Agent-Facing)' -> pali/了: Efficiency in the moment and depth deferred preserves flow without sacrificing insight.	timebox, core, agent, facing, p4ng, prime, efficiency, moment, depth, deferred
p4ng/tune-audits	pali	把	Tune Audits (Quarterly) -> pali/把: Regular low-friction audits maintain momentum without burden.	tune, audits, quarterly, p4ng, regular, low, friction, maintain, momentum, without
p4ng/two-stage-fidelity	pali	了	Two-Stage Fidelity (Registered Rhythm) -> pali/了: Separating intent from execution provides clearer evaluation and reduces ambiguity.	two, stage, fidelity, registered, rhythm, p4ng, separating, intent, execution, provides
pacspine/bonus-layer	pali	只	Pattern 7 — Signal the Further Benefit -> pali/只: One delightful surprise invites curiosity without overwhelm.	pattern, 7, signal, further, benefit, pacspine, bonus, layer, one, delightful
pacspine/channel-upgrade	ante	把	Pattern 2 — Upgrade the Channel (Reveal the Real Ask) -> ante/把: People hire the candidate who understands the real problem.	pattern, 2, upgrade, channel, reveal, real, ask, pacspine, people, hire
pacspine/crisp-success	pali	只	Pattern 5 — Earn Their Approval (One Crisp Success) -> pali/只: Specificity builds credibility faster than volume.	pattern, 5, earn, approval, one, crisp, success, pacspine, specificity, builds
pacspine/frictionless-next	pali	把	Pattern 8 — Show Them How to Seal the Deal -> pali/把: Lower activation energy raises response rates.	pattern, 8, show, how, seal, deal, pacspine, frictionless, next, lower
pacspine/future-field	pali	以	Pattern 6 — Get Them Excited (Open the Future Field) -> pali/以: Partners fund believable futures.	pattern, 6, get, excited, open, future, field, pacspine, partners, fund
pacspine/ghost-move	pali	可能	Pattern 9 — Empower Them (Ghost Move) -> pali/可能: Lasting goodwill keeps future engagements possible.	pattern, 9, empower, ghost, move, pacspine, lasting, goodwill, keeps, future
pacspine/goodwill	pali	对	Pattern 4 — Secure Their Goodwill (Cultural Alignment) -> pali/对: Teams back candidates who lighten load.	pattern, 4, secure, goodwill, cultural, alignment, pacspine, teams, back, candidates
pacspine/inception-move	kin	以	Pattern 3 — Inception Move (Epistemic Entry Point) -> kin/以: Inception beats persuasion; it shows lived understanding.	pattern, 3, inception, move, epistemic, entry, point, pacspine, beats, persuasion
pacspine/indicators-checker	ante	把	Pattern 11 — Indicators Checker -> ante/把: Uniform standards keep the set coherent.	pattern, 11, indicators, checker, pacspine, uniform, standards, keep, set, coherent
pacspine/obligations-checker	jo	只	Pattern 12 — Obligations Checker -> jo/只: This harness protects integrity while projecting facets deliberately.	pattern, 12, obligations, checker, pacspine, harness, protects, integrity, while, projecting
pacspine/quick-intro	o	就	Pattern 1 — Quick Intro (Alignment Hook) -> o/就: Immediate resonance positions you as context-aware rather than generic.	pattern, 1, quick, intro, alignment, hook, pacspine, immediate, resonance, positions
pacspine/simple-close	o	只	Pattern 10 — Tie It All Together -> o/只: Simplicity signals maturity.	pattern, 10, tie, all, together, pacspine, simple, close, simplicity, signals
paramitas/discernment		习	Discernment -> unknown/习: Discernment grows by reclassifying what is required now versus what must remain optional later.	discernment, paramitas, grows, reclassifying, what, required, now, versus, remain, optional
paramitas/endurance	tenpo	久	Endurance -> tenpo/久: Capacity-building requires preserving the warranting middle of how a transition became actionable.	endurance, paramitas, capacity, building, requires, preserving, warranting, middle, how, transition
paramitas/equanimity		平	Equanimity -> unknown/平: Symbolic futures exert real pressure in the present without being causal; equanimity depends on distinguishing which systems require planning versus openness.	equanimity, paramitas, symbolic, futures, exert, real, pressure, present, without, being
paramitas/ethical-containment-vs-moral-totalisation		正	Ethical Containment vs Moral Totalisation -> unknown/正: Ethical coherence under pressure depends on preventing collapse into denial or domination, not on eliminating constitutive forces.	ethical, containment, vs, moral, totalisation, paramitas, coherence, under, pressure, depends
paramitas/generosity		予	Generosity -> unknown/予: Coherence reduces cognitive load more reliably than distraction does.	generosity, paramitas, coherence, reduces, cognitive, load, more, reliably, than, distraction
paramitas/good-will	pilin	仁	Good Will -> pilin/仁: Accurate attribution prevents transactional narratives from distorting good will and allows closure without denying either care or responsibility.	good, paramitas, accurate, attribution, prevents, transactional, narratives, distorting, allows, closure
paramitas/non-transactional-intensity	wawa	力	Non-Transactional Intensity -> wawa/力: Intensity often emerges from contextual compression rather than intrinsic relational demand; reading it ecologically preserves agency and proportionality.	non, transactional, intensity, paramitas, often, emerges, contextual, compression, rather, than
paramitas/persistence	tawa	功	Persistence -> tawa/功: Long-term work survives only when it is socially and internally intelligible as a way of living.	persistence, paramitas, long, term, work, survives, only, when, socially, internally
paramitas/proper-routing-of-craving		无	Proper Routing of Craving -> unknown/无: Craving is a pointer toward missing conditions; acting on it without checking jurisdiction produces category errors.	proper, routing, craving, paramitas, pointer, toward, missing, conditions, acting, without
paramitas/truth	toki	白	Truth -> toki/白: Formal-methods sensibilities provide shared criteria for good reasoning infrastructure, making the pattern layer legible as operational governance.	truth, paramitas, formal, methods, sensibilities, provide, shared, criteria, good, reasoning
repository-transition/counterstrawman	mute	门	Counterstrawman: Emporium Repository -> mute/门: Development is supported through frictionless contribution.	counterstrawman, emporium, repository, transition, development, supported, through, frictionless, contribution, identity
repository-transition/counterstrawman-indicators		市	Emporium Indicators -> unknown/市: The emporium must be accountable to internal stakeholders,	emporium, indicators, repository, transition, counterstrawman, accountable, internal, stakeholders, meaningful, signals
repository-transition/diagnostics	wawa	诊	Role × Value Diagnostics -> wawa/诊: Contribution friction remains high for many depositors.	role, value, diagnostics, repository, transition, contribution, friction, remains, high, many
repository-transition/identity-space	loje	门	Repository Identity Space -> loje/门: Identity and expectations remain tacit unless explicitly mapped.	repository, identity, space, transition, expectations, remain, tacit, unless, explicitly, mapped
repository-transition/invariants		恒	Role × Value Invariants -> unknown/恒: We ARE a community producing and sharing research, and we BELIEVE in Generosity of Spirit,	role, value, invariants, repository, transition, community, producing, sharing, research, believe
repository-transition/job-argument	sina	义	Repository Transition Job Argument -> sina/义: These tensions can be used as design signals with a simple, repeatable leadership pattern.	repository, transition, job, argument, these, tensions, used, design, signals, simple
repository-transition/strawman	wawa	偏	Strawman Misalignment Map -> wawa/偏: Development pathways are constrained by system friction.	strawman, misalignment, map, repository, transition, development, pathways, constrained, system, friction
repository-transition/transformation-engine		轮	Leadership Patterns Underpinning the Transformation Cycle -> unknown/轮: People connect to work through different modes of intimacy.	leadership, patterns, underpinning, transformation, cycle, repository, transition, engine, people, connect
software-design/adapter-pattern		接	Adapter Pattern -> unknown/接: A single translation boundary isolates change and preserves clean contracts.	adapter, pattern, software, design, single, translation, boundary, isolates, change, preserves
software-design/facade-pattern		面	Facade Pattern -> unknown/面: A stable facade shields callers from churn in underlying components.	facade, pattern, software, design, stable, shields, callers, churn, underlying, components
software-design/observer-pattern		觀	Observer Pattern -> unknown/觀: The publisher remains stable while observers evolve independently.	observer, pattern, software, design, publisher, remains, stable, while, observers, evolve
software-design/proxy-pattern		代	Proxy Pattern -> unknown/代: The proxy isolates policy while preserving substitutability.	proxy, pattern, software, design, isolates, policy, while, preserving, substitutability
software-design/state-pattern		態	State Pattern -> unknown/態: State-specific logic stays localized and transitions become explicit.	state, pattern, software, design, specific, logic, stays, localized, transitions, become
stack-coherence/commit-intent-alignment		劲	Commit Intent Alignment -> unknown/劲: viriya is kinetic practice—commits and devmaps must reflect the same movement or we lose trust in both	commit, intent, alignment, stack, coherence, viriya, kinetic, practice, commits, devmaps
stack-coherence/evidence-ledger		证	Stack Evidence Ledger -> unknown/证: dhammavicaya isn’t vibes—claims must cite reproducible proofs or they drift into fiction	stack, evidence, ledger, coherence, dhammavicaya, isn, t, vibes, claims, cite
stack-coherence/futon1-determinism		律	Futon1 Determinism Gate -> unknown/律: dhammavicaya keeps the substrate honest—the focus-header fixture, graph-memory schema tests, and NLP pipeline fixtures are the shared proof artifacts, so stack-coherence loops must treat a red CI badge (or failing local run) as a blocking condition for Prototype 1 duties	futon1, determinism, gate, stack, coherence, dhammavicaya, keeps, substrate, honest, focus
stack-coherence/readme-devmap-sync	nasin	本	README ⇄ Devmap Sync -> nasin/本: the README is the public proof sketch; if it diverges from the devmap, nobody knows what is actually done or blocked	readme, devmap, sync, stack, coherence, public, proof, sketch, diverges, nobody
stack-coherence/ready-blocked-triage		态	Ready/Blocked/Triage Classifier -> unknown/态: knowing the state of each obligation is the core of informal proofkeeping	ready, blocked, triage, classifier, stack, coherence, knowing, state, each, obligation
stack-coherence/stack-blocker-detection		阻	Stack Blocker Detection -> unknown/阻: dhammavicaya means naming what already exists—and what is still blocking it—so we don’t conflate “not started” with “stalled”	stack, blocker, detection, coherence, dhammavicaya, means, naming, what, already, exists
stack-coherence/staleness-scan		察	Staleness Scan -> unknown/察: keeping the prose synchronized with the proof is part of coherence—otherwise the map lies while the territory shifts	staleness, scan, stack, coherence, keeping, prose, synchronized, proof, part, otherwise
t4r/dtp-fit	pali	系统	2 Relationship to existing doctoral training -> pali/系统: Most doctoral programmes teach disciplinary technique but rarely teach how disciplines learn from one another. talk4real combines ethnography, computer science, and design so scholars can treat conversation, computation, and intervention as one method. The Supplement pilot treats conversation as data and prototype as publication, keeping every scholar inside a continuous REPL loop. The programme operates as a portable connective tissue for other DTPs, enabling cross-cohort self-correction without extra training burden.	2, relationship, existing, doctoral, training, t4r, dtp, fit, most, programmes
t4r/exec-summary-tree	pali	了	Executive Summary -> pali/了: Most doctoral programmes operate within disciplinary or thematic silos, limiting cross-boundary learning and system-level improvement. Collective-intelligence frameworks can capture feedback between researchers, institutions, and communities so research systems learn from their own activity. The model is structured by ethical reflexivity (co-authored representation), lightweight infrastructure (portable method), and polyphonic governance (synthesised voices). Related precedents include initiatives such as realtalk@MIT, PlanetMath.org, and Peeragogy.	executive, summary, t4r, exec, tree, most, doctoral, programmes, operate, within
t4r/legacy	pali	了	5 Legacy and sustainability -> pali/了: The programme yields software components, data schemas, and design templates alongside researchers fluent in listening, analysis, and redesign. Each doctoral project produces a self-contained yet interoperable prototype, so sustainability never depends on a single host institution. The Supplement embodies this ethos as a collaboratively authored artefact that is simultaneously document, dataset, and performance. Graduates seed the method elsewhere while the open infrastructure supports new nodes linking universities, civic organisations, and cultural institutions into an evolving ecosystem.	5, legacy, sustainability, t4r, programme, yields, software, components, data, schemas
t4r/rationale	pali	了	1 Rationale for the choice of research subject area -> pali/了: Research policies, tools, and incentives currently pile up without coherent mechanisms for reflection. Institutions generate knowledge faster than they can interpret, while prevailing audits and surveys prioritise compliance over learning. The Supplement’s simulated dialogue, participatory annotation, and iterative synthesis show the research system studying itself in real time. Formalising a social-psychological REPL makes reflexive learning habitual from doctoral study to institutional governance.	1, rationale, choice, research, subject, area, t4r, policies, tools, incentives
t4r/supplement	pali	了	Supplement workshop transcript -> pali/了: Facilitators run five segments mapped to Read, Evaluate, Print, Loop with defined roles—facilitator, recorder, reporter, persona agents—to interrogate the brief. Persona statements from researchers, doctoral scholars, developer-scholars, supervisors, administrators, and the talk4real team surface strengths, blind spots, and initial stances. Participants co-design minimal listening captures, consent protocols, tagging vocabularies, and assessment artefacts that treat stories as analyzable yet textured data. Live debate over anonymisation, governance boards, licensing, and preserving dissent keeps the Print phase accountable to what Read reveals, demonstrating the reflexive loop in action.	supplement, workshop, transcript, t4r, facilitators, run, five, segments, mapped, read
t4r/support	pali	其	6 Additional financial or other support resources -> pali/其: The main assets are conversation, computation, and coordination already present in partner institutions, so core costs focus on stipends, workshops, and hosting. Partners such as the UK Reproducibility Network, PathOS, and the Oxford Schwartzman Centre plus allied studios and labs contribute mentoring and in-kind expertise. Open-source software, shared cloud infrastructure, and cross-university collaboration keep financial overhead minimal while maximising reach. Outputs remain freely available, ensuring continuing value beyond the funding window.	6, additional, financial, other, support, resources, t4r, main, assets, conversation
t4r/training	pali	工作	4 Supervision, training, and cohort-building activities -> pali/工作: Supervision is collaborative and polyphonic, pairing disciplinary mentors with methodological companions in ethnography, data science, and design. Training follows the shared REPL rhythm demonstrated in the Supplement, grounding every project in a common protocol. Cohort practices such as listening clinics and signal-boost workshops share data, analyse overlaps, and co-design interventions. Portfolio assessment with open datasets, code notebooks, design artefacts, and open peer review makes each scholar a co-investigator refining the collective infrastructure.	4, supervision, training, cohort, building, activities, t4r, collaborative, polyphonic, pairing
t4r/value	pali	了	3 Added value to the field and the universities -> pali/了: Ten linked doctoral projects—talk4maths, talk4health, talk4policy, talk4arts, and others—test the same REPL architecture in different domains. Each project contributes stories, datasets, and tools to an evolving commons that lets institutions reflect collectively. The Supplement demonstrates cross-voice dialogue, thematic tagging, consent protocols, and reflective synthesis working as a live prototype. Universities gain a practical method for adaptive governance, and the wider field gains a way to study and iteratively improve epistemic systems.	3, added, value, field, universities, t4r, ten, linked, doctoral, projects
transition/f0-f4-boundary		界	Separate FUTON0 Signals from FUTON4 Footholds -> unknown/界: Safe exploration depends on separating situational awareness from action affordance; when those collapse, judgement degrades under fatigue and complexity.	separate, futon0, signals, futon4, footholds, transition, f0, f4, boundary, safe
transition/persistence-conditions		稳	Persistence Requires Infrastructure -> unknown/稳: Validated persistence requires the capacity to stop, recover, resume, and change route without loss of viability, which cannot exist without prior infrastructure.	persistence, requires, infrastructure, transition, conditions, validated, capacity, stop, recover, resume
transition/prototype1a-workbench		台	Prototype 1A as Dedicated Workbench -> unknown/台: Long-arc productivity depends less on early outputs than on having a stable locus where work can reliably begin, pause, resume, and be re-tooled without re-inventing foundations.	prototype, 1a, dedicated, workbench, transition, prototype1a, long, arc, productivity, depends
vsat-next/ai-assisted-professional-storycrafting	pali	工作	AI-Assisted Professional Storycrafting -> pali/工作: Purpose-built assistance keeps workflows humane and efficient.	ai, assisted, professional, storycrafting, vsat, next, purpose, built, assistance, keeps
vsat-next/narrative-arc-infographics	lukin	方式	Narrative Arc Infographics -> lukin/方式: Visual summaries surface strengths and gaps without flattening the work.	narrative, arc, infographics, vsat, next, visual, summaries, surface, strengths, gaps
vsat/360-story-container	ale	更	360° Storytelling Container -> ale/更: Spatial anchors keep attention steady and let audiences traverse at their pace.	360, storytelling, container, vsat, story, spatial, anchors, keep, attention, steady
vsat/community-engagement	pali	特别	Community Engagement Platform -> pali/特别: Lowering the barrier increases representation and involvement.	community, engagement, platform, vsat, lowering, barrier, increases, representation, involvement, supplies
vsat/embedded-annotation	lukin	如	Embedded Hypertext Annotations -> lukin/如: Tethered text helps viewers follow meaning and emotional cues.	embedded, hypertext, annotations, vsat, annotation, tethered, text, helps, viewers, follow
vsat/media-narrative-skills	ilo	技术	Media & Narrative Skill Development -> ilo/技术: Structured play reduces cognitive load while transmitting narrative principles.	media, narrative, skill, development, vsat, skills, structured, play, reduces, cognitive
vsat/reflective-container	supa	种	Structured Reflective Container -> supa/种: Reflection improves coherence and depth.	structured, reflective, container, vsat, reflection, improves, coherence, depth, s, scene
vsatlas/accountable-poc		证	Accountable Use of Proof-of-Concept Funds -> unknown/证: Focusing budget on a falsifiable question is more accountable than diffuse build-out.	accountable, use, proof, concept, funds, vsatlas, poc, focusing, budget, falsifiable
vsatlas/askew-layer		义	Askew Layer -> unknown/义: Interpretive overlays let relational meaning emerge while protecting authorial integrity.	askew, layer, vsatlas, interpretive, overlays, let, relational, meaning, emerge, while
vsatlas/audience-shift		众	Audience Shift -> unknown/众: Shifting the audience from spectators to participants restores agency, dialogue, and collective problem-solving.	audience, shift, vsatlas, shifting, spectators, participants, restores, agency, dialogue, collective
vsatlas/capacity-building-sustainability	pali	以	Capacity Building + Sustainability -> pali/以: Sustainability proves value and aligns with open ecosystem goals.	capacity, building, sustainability, vsatlas, proves, value, aligns, open, ecosystem, goals
vsatlas/community-problem-solving-substrate	pali	使	Community Problem-Solving Substrate -> pali/使: Shared maps enable mutual diagnosis and strategy.	community, problem, solving, substrate, vsatlas, shared, maps, enable, mutual, diagnosis
vsatlas/connected-story-world	lon	除了	Connected Story World -> lon/除了: Connected worlds enable recognition and collaboration.	connected, story, world, vsatlas, worlds, enable, recognition, collaboration, turn, isolated
vsatlas/contributor-pathways	pali	其实	Contributor Pathways -> pali/其实: Explicit pathways sustain communities and fairness.	contributor, pathways, vsatlas, explicit, sustain, communities, fairness, clarify, how, participants
vsatlas/cooperative-learning-environment	pali	工作	Cooperative Learning Environment -> pali/工作: Cooperation turns VSATLAS into a social learning space.	cooperative, learning, environment, vsatlas, cooperation, turns, social, space, teach, contributors
vsatlas/current-strength-gap		图	Current Strength and Gap -> unknown/图: Without framing the gap explicitly, pilots will chase polish rather than the organisational question.	current, strength, gap, vsatlas, without, framing, explicitly, pilots, chase, polish
vsatlas/economic-resonance-layer	jo	义	Economic Resonance Layer -> jo/义: When narrative resonance aligns with economic mutuality, the manifold becomes regenerative rather than extractive.	economic, resonance, layer, vsatlas, when, narrative, aligns, mutuality, manifold, becomes
vsatlas/facilitation-scaffolds	pali	需要	Facilitation Scaffolds -> pali/需要: Facilitation quality determines whether linking becomes meaningful.	facilitation, scaffolds, vsatlas, quality, determines, whether, linking, becomes, meaningful, equip
vsatlas/festival-model	anu	门	Festival Model -> anu/门: Festivals generate cultures, not commodities.	festival, model, vsatlas, festivals, generate, cultures, commodities, treat, manifold, evolving
vsatlas/interpretation-offering	lon	几	Interpretation Offering -> lon/几: Interpretation is the bridge between stories and decisions.	interpretation, offering, vsatlas, bridge, between, stories, decisions, package, service, where
vsatlas/interpretive-views	ante	几	Interpretive Views -> ante/几: Multi-view reading keeps the world inclusive and useful.	interpretive, views, vsatlas, multi, view, reading, keeps, world, inclusive, useful
vsatlas/isolarion-drift	insa	在	Isolarion Drift -> insa/在: Relational topology converts isolated narratives into a shared world with emergent coherence.	isolarion, drift, vsatlas, relational, topology, converts, isolated, narratives, shared, world
vsatlas/minimal-linking-pilot		用	Minimal Feature and Pilots -> unknown/用: Concentrating on the linking loop lets partners judge whether collective sense-making improves.	minimal, feature, pilots, vsatlas, linking, pilot, concentrating, loop, lets, partners
vsatlas/offer-ladder		本	Offer Ladder -> unknown/本: A visible ladder of offers turns VSATLAS from an idea into a portfolio of bookable engagements that can recover costs and demonstrate real-world demand.	offer, ladder, vsatlas, visible, offers, turns, idea, portfolio, bookable, engagements
vsatlas/open-ecosystem-mandate	seme	门	Open Ecosystem Mandate -> seme/门: Only an open ecosystem can support pluriversality, collective authorship, and long-term resilience.	open, ecosystem, mandate, vsatlas, only, support, pluriversality, collective, authorship, long
vsatlas/open-infrastructure-expert-practice	pali	也	Open Infrastructure + Expert Practice -> pali/也: This pairing speeds adoption and keeps governance healthy.	open, infrastructure, expert, practice, vsatlas, pairing, speeds, adoption, keeps, governance
vsatlas/open-progression-ecosystem	pali	这些	Open Progression Ecosystem -> pali/这些: Open ecosystems thrive when progression is explicit.	open, progression, ecosystem, vsatlas, ecosystems, thrive, when, explicit, build, so
vsatlas/peeragogical-infrastructures		群	Peeragogical Infrastructures -> unknown/群: Peeragogical competence is required to maintain shared worlds and enable social imagination.	peeragogical, infrastructures, vsatlas, competence, required, maintain, shared, worlds, enable, social
vsatlas/pilot-offers		益	Turn Pilot Results into Offers -> unknown/益: Partners decide based on named programmes, not raw features.	turn, pilot, results, offers, vsatlas, partners, decide, based, named, programmes
vsatlas/pluriversal-infrastructure	ale	门	Pluriversal Infrastructure -> ale/门: Pluriversal design ensures “nothing about us without us” and turns distributed knowledge into collective power.	pluriversal, infrastructure, vsatlas, design, ensures, nothing, us, without, turns, distributed
vsatlas/proof-of-concept-scope		义	Precise Concept to Test -> unknown/义: Narrow scope keeps effort tied to a partner-relevant question.	precise, concept, test, vsatlas, proof, scope, narrow, keeps, effort, tied
vsatlas/proof-through-pilots		本	Proof Through Pilots -> unknown/本: Proof through pilots turns the business plan into a sequence of situated experiments whose successes—and failures—offer persuasive material for future commissions and follow-on funding.	proof, through, pilots, vsatlas, turns, business, plan, sequence, situated, experiments
vsatlas/reasons-to-causes	wawa	力	Reasons-to-Causes Gear Train -> wawa/力: Relational topology is the missing gear train that turns narrative into collective action.	reasons, causes, gear, train, vsatlas, relational, topology, missing, turns, narrative
vsatlas/shared-stewardship-compact		人	Shared Stewardship Compact -> unknown/人: A clear compact reassures institutions, invites co-ownership, and aligns the business model with the manifold’s deeper claim: that worlds worth living in are co-created and co-stewarded.	shared, stewardship, compact, vsatlas, clear, reassures, institutions, invites, co, ownership
vsatlas/stewardship-layer	ona	义	Stewardship Layer -> ona/义: Stewardship preserves coherence, safety, and long-term navigability.	stewardship, layer, vsatlas, preserves, coherence, safety, long, term, navigability, introduce
vsatlas/story-emporium	tomo	门	Story Emporium -> tomo/门: Proximity, not centralisation, generates aliveness, cross-pollination, and emergent understanding.	story, emporium, vsatlas, proximity, centralisation, generates, aliveness, cross, pollination, emergent
